id	name	type	population
310M200US40060	Richmond Metro Area (VA)	msa	1221729
310M200US25540	Hartford Metro Area (CT)	msa	1213883
0500000US26125	"Oakland County, MI"	county	1213406
310M200US35380	New Orleans Metro Area (LA)	msa	1209239
0500000US39049	"Franklin County, OH"	county	1181824
0500000US12095	"Orange County, FL"	county	1175416
0500000US27053	"Hennepin County, MN"	county	1170623
310M200US39580	Raleigh Metro Area (NC)	msa	1162689
310M200US15380	Buffalo Metro Area (NY)	msa	1134695
310M200US13820	Birmingham Metro Area (AL)	msa	1132182
310M200US41620	Salt Lake City Metro Area (UT)	msa	1107434
0500000US51059	"Fairfax County, VA"	county	1101071
310M200US40380	Rochester Metro Area (NY)	msa	1081126
0500000US06013	"Contra Costa County, CA"	county	1065794
0500000US48453	"Travis County, TX"	county	1063248
0400000US44	Rhode Island	state	1051695
0500000US49035	"Salt Lake County, UT"	county	1048314
0500000US29189	"St. Louis County, MO"	county	999725
310M200US24340	Grand Rapids Metro Area (MI)	msa	998916
0400000US30	Montana	state	998554
0500000US24031	"Montgomery County, MD"	county	989474
310M200US46060	Tucson Metro Area (AZ)	msa	986891
0500000US04019	"Pima County, AZ"	county	986891
1600000US0668000	"San Jose, CA"	place	968903
310M200US46520	Urban Honolulu Metro Area (HI)	msa	964678
0500000US15003	"Honolulu County, HI"	county	964678
0500000US36119	"Westchester County, NY"	county	956283
0500000US55079	"Milwaukee County, WI"	county	950527
0500000US13121	"Fulton County, GA"	county	948554
0500000US37119	"Mecklenburg County, NC"	county	947135
310M200US46140	Tulsa Metro Area (OK)	msa	945802
310M200US23420	Fresno Metro Area (CA)	msa	939605
0500000US06019	"Fresno County, CA"	county	939605
0500000US47157	"Shelby County, TN"	county	932919
0500000US37183	"Wake County, NC"	county	929214
310M200US14860	Bridgeport Metro Area (CT)	msa	926233
0500000US09001	"Fairfield County, CT"	county	926233
0500000US17043	"DuPage County, IL"	county	922803
310M200US49340	Worcester Metro Area (MA-CT)	msa	920803
0500000US12103	"Pinellas County, FL"	county	920015
0500000US36029	"Erie County, NY"	county	919230
0500000US34003	"Bergen County, NJ"	county	912795
0500000US18097	"Marion County, IN"	county	912242
0400000US10	Delaware	state	908446
0500000US09003	"Hartford County, CT"	county	895827
310M200US10740	Albuquerque Metro Area (NM)	msa	893241
310M200US36540	Omaha Metro Area (NE-IA)	msa	876355
0500000US24033	"Prince George's County, MD"	county	873481
310M200US10580	Albany Metro Area (NY)	msa	873238
0500000US12031	"Duval County, FL"	county	872598
0500000US09009	"New Haven County, CT"	county	862611
310M200US35300	New Haven Metro Area (CT)	msa	862611
0500000US06029	"Kern County, CA"	county	848204
310M200US12540	Bakersfield Metro Area (CA)	msa	848204
0500000US26099	"Macomb County, MI"	county	845197
310M200US28940	Knoxville Metro Area (TN)	msa	843268
1600000US4805000	"Austin, TX"	place	836800
310M200US24860	Greenville Metro Area (SC)	msa	834277
1600000US1235000	"Jacksonville, FL"	place	829721
0500000US06111	"Ventura County, CA"	county	829017
310M200US37100	Oxnard Metro Area (CA)	msa	829017
1600000US1836003	"Indianapolis, IN"	place	828841
0500000US13135	"Gwinnett County, GA"	county	825911
0400000US46	South Dakota	state	825198
310M200US10900	Allentown Metro Area (PA-NJ)	msa	823731
1600000US0667000	"San Francisco, CA"	place	817501
0500000US06075	"San Francisco County, CA"	county	817501
0500000US34023	"Middlesex County, NJ"	county	817026
310M200US21340	El Paso Metro Area (TX)	msa	816409
0500000US48141	"El Paso County, TX"	county	813015
0500000US24005	"Baltimore County, MD"	county	812261
0500000US48085	"Collin County, TX"	county	811308
310M200US12940	Baton Rouge Metro Area (LA)	msa	808816
0500000US53053	"Pierce County, WA"	county	805434
0500000US42091	"Montgomery County, PA"	county	804621
0500000US25027	"Worcester County, MA"	county	802688
0500000US39061	"Hamilton County, OH"	county	802481
310M200US19380	Dayton Metro Area (OH)	msa	801888
1600000US3918000	"Columbus, OH"	place	800594
0500000US48215	"Hidalgo County, TX"	county	790646
310M200US32580	McAllen Metro Area (TX)	msa	790646
0500000US34013	"Essex County, NJ"	county	785853
310M200US17900	Columbia Metro Area (SC)	msa	776794
1600000US4827000	"Fort Worth, TX"	place	761092
1600000US3712000	"Charlotte, NC"	place	757278
0500000US25009	"Essex County, MA"	county	750808
0500000US41051	"Multnomah County, OR"	county	747641
0500000US21111	"Jefferson County, KY"	county	746580
0500000US36055	"Monroe County, NY"	county	746548
0500000US25025	"Suffolk County, MA"	county	735701
0500000US40109	"Oklahoma County, OK"	county	732118
310M200US24660	Greensboro Metro Area (NC)	msa	730342
0500000US06081	"San Mateo County, CA"	county	729543
0500000US53061	"Snohomish County, WA"	county	724627
0400000US02	Alaska	state	720316
310M200US35840	North Port Metro Area (FL)	msa	712581
310M200US30780	Little Rock Metro Area (AR)	msa	709447
1600000US2622000	"Detroit, MI"	place	706663
310M200US10420	Akron Metro Area (OH)	msa	704979
0500000US17097	"Lake County, IL"	county	702099
0500000US13089	"DeKalb County, GA"	county	700308
0500000US13067	"Cobb County, GA"	county	699235
310M200US44700	Stockton Metro Area (CA)	msa	693177
0500000US06077	"San Joaquin County, CA"	county	693177
0400000US38	North Dakota	state	689781
0500000US48121	"Denton County, TX"	county	687857
310M200US16700	Charleston Metro Area (SC)	msa	682904
0500000US17197	"Will County, IL"	county	679688
0500000US25021	"Norfolk County, MA"	county	677296
0500000US29095	"Jackson County, MO"	county	675641
0500000US35001	"Bernalillo County, NM"	county	667092
310M200US45060	Syracuse Metro Area (NY)	msa	661838
1600000US4824000	"El Paso, TX"	place	660795
0500000US01073	"Jefferson County, AL"	county	658552
310M200US17820	Colorado Springs Metro Area (CO)	msa	657699
1600000US4748000	"Memphis, TN"	place	650932
0500000US34017	"Hudson County, NJ"	county	644605
310M200US49180	Winston Metro Area (NC)	msa	644250
0500000US47037	"Davidson County, TN"	county	638395
0500000US08041	"El Paso County, CO"	county	634423
310M200US15980	Cape Coral Metro Area (FL)	msa	633968
0500000US12071	"Lee County, FL"	county	633968
310M200US48620	Wichita Metro Area (KS)	msa	633020
0500000US34025	"Monmouth County, NJ"	county	629735
1600000US2507000	"Boston, MA"	place	629182
310M200US14260	Boise City Metro Area (ID)	msa	628966
0500000US44007	"Providence County, RI"	county	627469
0500000US42017	"Bucks County, PA"	county	625977
0400000US50	Vermont	state	625904
1600000US5363000	"Seattle, WA"	place	624681
310M200US44140	Springfield Metro Area (MA)	msa	624411
0500000US24510	"Baltimore city, MD"	county	621445
1600000US2404000	"Baltimore, MD"	place	621445
0500000US11001	"District of Columbia, DC"	county	619371
0400000US11	District of Columbia	state	619371
1600000US1150000	"Washington, DC"	place	619371
0500000US08031	"Denver County, CO"	county	619297
1600000US0820000	"Denver, CO"	place	619297
1600000US4752006	"Nashville-Davidson, TN"	place	614908
310M200US31540	Madison Metro Area (WI)	msa	614019
310M200US29460	Lakeland Metro Area (FL)	msa	610295
0500000US12105	"Polk County, FL"	county	610295
0500000US40143	"Tulsa County, OK"	county	609610
0500000US26081	"Kent County, MI"	county	609544
310M200US45780	Toledo Metro Area (OH)	msa	609437
0500000US48157	"Fort Bend County, TX"	county	608939
310M200US36260	Ogden Metro Area (UT)	msa	605609
1600000US2148006	"Louisville/Jefferson County, KY"	place	601611
1600000US5553000	"Milwaukee, WI"	place	596459
1600000US4159000	"Portland, OR"	place	594687
310M200US19660	Deltona Metro Area (FL)	msa	593569
1600000US3240000	"Las Vegas, NV"	place	591496
1600000US4055000	"Oklahoma City, OK"	place	590995
0500000US08005	"Arapahoe County, CO"	county	585333
310M200US19780	Des Moines Metro Area (IA)	msa	580913
0500000US34029	"Ocean County, NJ"	county	578902
310M200US27140	Jackson Metro Area (MS)	msa	571881
310M200US12260	Augusta Metro Area (GA-SC)	msa	570516
0400000US56	Wyoming	state	570134
310M200US42540	Scranton Metro Area (PA)	msa	563279
310M200US49660	Youngstown Metro Area (OH-PA)	msa	561884
0500000US42045	"Delaware County, PA"	county	559771
0500000US20091	"Johnson County, KS"	county	552947
310M200US25420	Harrisburg Metro Area (PA)	msa	552292
0500000US25005	"Bristol County, MA"	county	549870
1600000US3502000	"Albuquerque, NM"	place	549812
310M200US37340	Palm Bay Metro Area (FL)	msa	545667
0500000US12009	"Brevard County, FL"	county	545667
0500000US24003	"Anne Arundel County, MD"	county	544426
0500000US10003	"New Castle County, DE"	county	542784
0500000US39153	"Summit County, OH"	county	541592
0500000US08059	"Jefferson County, CO"	county	540669
0500000US34039	"Union County, NJ"	county	540568
0500000US41067	"Washington County, OR"	county	539608
310M200US39340	Provo Metro Area (UT)	msa	539562
0500000US39113	"Montgomery County, OH"	county	536433
310M200US16860	Chattanooga Metro Area (TN-GA)	msa	533187
310M200US44060	Spokane Metro Area (WA)	msa	530301
0500000US49049	"Utah County, UT"	county	529262
0500000US31055	"Douglas County, NE"	county	524697
310M200US29540	Lancaster Metro Area (PA)	msa	523306
0500000US42071	"Lancaster County, PA"	county	523306
1600000US0477000	"Tucson, AZ"	place	523278
0500000US17089	"Kane County, IL"	county	518380
0500000US06099	"Stanislaus County, CA"	county	518321
310M200US33700	Modesto Metro Area (CA)	msa	518321
310M200US20500	Durham Metro Area (NC)	msa	516798
310M200US38860	Portland Metro Area (ME)	msa	516460
0500000US27123	"Ramsey County, MN"	county	515732
0500000US34007	"Camden County, NJ"	county	513512
0500000US42029	"Chester County, PA"	county	503075
0500000US34031	"Passaic County, NJ"	county	502854
1600000US0627000	"Fresno, CA"	place	500819
0500000US20173	"Sedgwick County, KS"	county	500768
0500000US25023	"Plymouth County, MA"	county	497386
0500000US55025	"Dane County, WI"	county	496762
0500000US12127	"Volusia County, FL"	county	496268
0500000US37081	"Guilford County, NC"	county	495326
0500000US34027	"Morris County, NJ"	county	495261
0500000US18089	"Lake County, IN"	county	494250
0500000US06097	"Sonoma County, CA"	county	487469
310M200US42220	Santa Rosa Metro Area (CA)	msa	487469
310M200US30460	Lexington Metro Area (KY)	msa	478699
310M200US22220	Fayetteville Metro Area (AR-MO)	msa	473913
0500000US53063	"Spokane County, WA"	county	473832
0500000US48339	"Montgomery County, TX"	county	472162
1600000US0664000	"Sacramento, CA"	place	471477
310M200US29180	Lafayette Metro Area (LA)	msa	471070
0500000US36085	"Richmond County, NY"	county	470223
0500000US12101	"Pasco County, FL"	county	468194
0500000US36067	"Onondaga County, NY"	county	467202
1600000US0643000	"Long Beach, CA"	place	465424
310M200US29620	Lansing Metro Area (MI)	msa	465253
0500000US25013	"Hampden County, MA"	county	465144
1600000US2938000	"Kansas City, MO"	place	462378
0500000US45045	"Greenville County, SC"	county	459857
310M200US37860	Pensacola Metro Area (FL)	msa	456374
0500000US08001	"Adams County, CO"	county	452030
0500000US34005	"Burlington County, NJ"	county	449964
1600000US0446000	"Mesa, AZ"	place	447002
310M200US47300	Visalia Metro Area (CA)	msa	446644
0500000US06107	"Tulare County, CA"	county	446644
310M200US43340	Shreveport Metro Area (LA)	msa	443350
1600000US5182000	"Virginia Beach, VA"	place	442151
0500000US51810	"Virginia Beach city, VA"	county	442151
0500000US22033	"East Baton Rouge Parish, LA"	county	441901
0500000US48491	"Williamson County, TX"	county	441445
310M200US44180	Springfield Metro Area (MO)	msa	441050
